
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( k | l ...) = 0.206049 [ -0.686029 ]
p( _ | k ...) = 0.272001 [ -0.565429 ]
p( t | _ ...) = 0.133285 [ -0.875220 ]
p( o | t ...) = 0.209322 [ -0.679185 ]
p( _ | o ...) = 0.290103 [ -0.537448 ]
p( y | _ ...) = 0.078140 [ -1.107129 ]
p( o | y ...) = 0.311147 [ -0.507034 ]
p( u | o ...) = 0.311072 [ -0.507139 ]
p( _ | u ...) = 0.216909 [ -0.663722 ]
p( s | _ ...) = 0.054528 [ -1.263378 ]
p( o | s ...) = 0.266121 [ -0.574921 ]
p( o | o ...) = 0.257055 [ -0.589974 ]
p( n | o ...) = 0.128615 [ -0.890708 ]
sum logprob = -12.7269, per-symbol logprob = -0.7954, ppl = 6.2435

sentence = 'i <sp> h a v e <sp> a l s'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( h | _ ...) = 0.062916 [ -1.201239 ]
p( a | h ...) = 0.220227 [ -0.657129 ]
p( v | a ...) = 0.145846 [ -0.836106 ]
p( e | v ...) = 0.118604 [ -0.925902 ]
p( _ | e ...) = 0.307021 [ -0.512832 ]
p( a | _ ...) = 0.123569 [ -0.908092 ]
p( l | a ...) = 0.122037 [ -0.913509 ]
p( s | l ...) = 0.121531 [ -0.915312 ]
sum logprob = -8.7698, per-symbol logprob = -0.8770, ppl = 7.5331

sentence = 'e x p l a i n <sp> t h a t <sp> t o <sp> m e'
p( e | <s> ...) = 0.036671 [ -1.435680 ]
p( x | e ...) = 0.042273 [ -1.373935 ]
p( p | x ...) = 0.128472 [ -0.891191 ]
p( l | p ...) = 0.148766 [ -0.827496 ]
p( a | l ...) = 0.043323 [ -1.363283 ]
p( i | a ...) = 0.051092 [ -1.291647 ]
p( n | i ...) = 0.220706 [ -0.656186 ]
p( _ | n ...) = 0.141233 [ -0.850065 ]
p( t | _ ...) = 0.188169 [ -0.725452 ]
p( h | t ...) = 0.299250 [ -0.523965 ]
p( a | h ...) = 0.136837 [ -0.863798 ]
p( t | a ...) = 0.315434 [ -0.501091 ]
p( _ | t ...) = 0.313412 [ -0.503885 ]
p( t | _ ...) = 0.190254 [ -0.720667 ]
p( o | t ...) = 0.056813 [ -1.245549 ]
p( _ | o ...) = 0.214527 [ -0.668518 ]
p( m | _ ...) = 0.098857 [ -1.004992 ]
p( e | m ...) = 0.200444 [ -0.698007 ]
sum logprob = -16.1454, per-symbol logprob = -0.8970, ppl = 7.8880

sentence = 'c a n <sp> i <sp> m u n c h <sp> o n <sp> s o m e <sp> n u t s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( i | _ ...) = 0.101067 [ -0.995392 ]
p( _ | i ...) = 0.044650 [ -1.350176 ]
p( m | _ ...) = 0.017141 [ -1.765967 ]
p( u | m ...) = 0.043618 [ -1.360335 ]
p( n | u ...) = 0.052587 [ -1.279121 ]
p( c | n ...) = 0.019457 [ -1.710919 ]
p( h | c ...) = 0.293586 [ -0.532265 ]
p( _ | h ...) = 0.313471 [ -0.503802 ]
p( o | _ ...) = 0.193722 [ -0.712822 ]
p( n | o ...) = 0.267109 [ -0.573312 ]
p( _ | n ...) = 0.309144 [ -0.509839 ]
p( s | _ ...) = 0.073151 [ -1.135777 ]
p( o | s ...) = 0.255436 [ -0.592718 ]
p( m | o ...) = 0.286009 [ -0.543620 ]
p( e | m ...) = 0.317753 [ -0.497911 ]
p( _ | e ...) = 0.187445 [ -0.727127 ]
p( n | _ ...) = 0.025362 [ -1.595811 ]
p( u | n ...) = 0.145802 [ -0.836236 ]
p( t | u ...) = 0.304833 [ -0.515938 ]
p( s | t ...) = 0.240043 [ -0.619711 ]
sum logprob = -22.4477, per-symbol logprob = -0.9353, ppl = 8.6163

sentence = 'w h e n <sp> y o u <sp> c o m e <sp> b a c k'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( e | h ...) = 0.135739 [ -0.867296 ]
p( n | e ...) = 0.175810 [ -0.754957 ]
p( _ | n ...) = 0.313471 [ -0.503802 ]
p( y | _ ...) = 0.064835 [ -1.188192 ]
p( o | y ...) = 0.293940 [ -0.531741 ]
p( u | o ...) = 0.310677 [ -0.507691 ]
p( _ | u ...) = 0.264190 [ -0.578083 ]
p( c | _ ...) = 0.050757 [ -1.294505 ]
p( o | c ...) = 0.150400 [ -0.822752 ]
p( m | o ...) = 0.166787 [ -0.777839 ]
p( e | m ...) = 0.160287 [ -0.795101 ]
p( _ | e ...) = 0.312732 [ -0.504827 ]
p( b | _ ...) = 0.077284 [ -1.111910 ]
p( a | b ...) = 0.288860 [ -0.539312 ]
p( c | a ...) = 0.307439 [ -0.512241 ]
p( k | c ...) = 0.069627 [ -1.157222 ]
sum logprob = -14.6663, per-symbol logprob = -0.8148, ppl = 6.5282

sentence = 'w h o <sp> c a l l e d'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( o | h ...) = 0.101209 [ -0.994781 ]
p( _ | o ...) = 0.282368 [ -0.549184 ]
p( c | _ ...) = 0.047188 [ -1.326172 ]
p( a | c ...) = 0.204584 [ -0.689129 ]
p( l | a ...) = 0.083823 [ -1.076638 ]
p( l | l ...) = 0.275286 [ -0.560215 ]
p( e | l ...) = 0.190329 [ -0.720494 ]
p( d | e ...) = 0.033191 [ -1.478979 ]
sum logprob = -9.6144, per-symbol logprob = -0.9614, ppl = 9.1503

sentence = 'p l e a s e <sp> t u r n <sp> o n <sp> t h e <sp> t v'
p( p | <s> ...) = 0.047203 [ -1.326033 ]
p( l | p ...) = 0.076707 [ -1.115165 ]
p( e | l ...) = 0.092150 [ -1.035506 ]
p( a | e ...) = 0.195401 [ -0.709074 ]
p( s | a ...) = 0.057401 [ -1.241082 ]
p( e | s ...) = 0.101235 [ -0.994669 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.130782 [ -0.883452 ]
p( u | t ...) = 0.027053 [ -1.567781 ]
p( r | u ...) = 0.266601 [ -0.574138 ]
p( n | r ...) = 0.295524 [ -0.529407 ]
p( _ | n ...) = 0.243428 [ -0.613630 ]
p( o | _ ...) = 0.227281 [ -0.643437 ]
p( n | o ...) = 0.209769 [ -0.678259 ]
p( _ | n ...) = 0.311936 [ -0.505934 ]
p( t | _ ...) = 0.165552 [ -0.781065 ]
p( h | t ...) = 0.305901 [ -0.514419 ]
p( e | h ...) = 0.290564 [ -0.536758 ]
p( _ | e ...) = 0.305418 [ -0.515106 ]
p( t | _ ...) = 0.082695 [ -1.082520 ]
p( v | t ...) = 0.039774 [ -1.400403 ]
sum logprob = -17.7516, per-symbol logprob = -0.8453, ppl = 7.0035

sentence = 'c a n <sp> w e <sp> g o <sp> t o <sp> t h e <sp> m o v i e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( w | _ ...) = 0.019861 [ -1.702004 ]
p( e | w ...) = 0.108729 [ -0.963654 ]
p( _ | e ...) = 0.184828 [ -0.733232 ]
p( g | _ ...) = 0.092306 [ -1.034771 ]
p( o | g ...) = 0.181414 [ -0.741328 ]
p( _ | o ...) = 0.309314 [ -0.509600 ]
p( t | _ ...) = 0.101669 [ -0.992812 ]
p( o | t ...) = 0.247254 [ -0.606857 ]
p( _ | o ...) = 0.282440 [ -0.549074 ]
p( t | _ ...) = 0.175827 [ -0.754913 ]
p( h | t ...) = 0.290636 [ -0.536651 ]
p( e | h ...) = 0.272154 [ -0.565186 ]
p( _ | e ...) = 0.289671 [ -0.538095 ]
p( m | _ ...) = 0.049565 [ -1.304825 ]
p( o | m ...) = 0.184947 [ -0.732952 ]
p( v | o ...) = 0.138419 [ -0.858804 ]
p( i | v ...) = 0.313519 [ -0.503736 ]
p( e | i ...) = 0.174962 [ -0.757055 ]
p( s | e ...) = 0.240116 [ -0.619579 ]
sum logprob = -19.0941, per-symbol logprob = -0.8302, ppl = 6.7636

sentence = 'y o u <sp> k n o w <sp> w h a t <sp> i <sp> m e a n'
p( y | <s> ...) = 0.020894 [ -1.679973 ]
p( o | y ...) = 0.150989 [ -0.821056 ]
p( u | o ...) = 0.291616 [ -0.535188 ]
p( _ | u ...) = 0.241365 [ -0.617326 ]
p( k | _ ...) = 0.014513 [ -1.838233 ]
p( n | k ...) = 0.208375 [ -0.681155 ]
p( o | n ...) = 0.277829 [ -0.556222 ]
p( w | o ...) = 0.056379 [ -1.248884 ]
p( _ | w ...) = 0.249769 [ -0.602461 ]
p( w | _ ...) = 0.174740 [ -0.757608 ]
p( h | w ...) = 0.305075 [ -0.515593 ]
p( a | h ...) = 0.241661 [ -0.616794 ]
p( t | a ...) = 0.134905 [ -0.869972 ]
p( _ | t ...) = 0.312784 [ -0.504756 ]
p( i | _ ...) = 0.177358 [ -0.751148 ]
p( _ | i ...) = 0.072118 [ -1.141954 ]
p( m | _ ...) = 0.158639 [ -0.799590 ]
p( e | m ...) = 0.312135 [ -0.505658 ]
p( a | e ...) = 0.315925 [ -0.500416 ]
p( n | a ...) = 0.174606 [ -0.757942 ]
sum logprob = -16.3019, per-symbol logprob = -0.8151, ppl = 6.5328

sentence = 'c a n <sp> y o u <sp> r e p e a t <sp> w h a t <sp> y o u <sp> j u s t <sp> s a i d'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( r | _ ...) = 0.045678 [ -1.340295 ]
p( e | r ...) = 0.278264 [ -0.555544 ]
p( p | e ...) = 0.036359 [ -1.439389 ]
p( e | p ...) = 0.096068 [ -1.017421 ]
p( a | e ...) = 0.310340 [ -0.508162 ]
p( t | a ...) = 0.226618 [ -0.644706 ]
p( _ | t ...) = 0.301715 [ -0.520404 ]
p( w | _ ...) = 0.050909 [ -1.293206 ]
p( h | w ...) = 0.246564 [ -0.608071 ]
p( a | h ...) = 0.256878 [ -0.590273 ]
p( t | a ...) = 0.102735 [ -0.988282 ]
p( _ | t ...) = 0.306952 [ -0.512929 ]
p( y | _ ...) = 0.164591 [ -0.783594 ]
p( o | y ...) = 0.318139 [ -0.497384 ]
p( u | o ...) = 0.311417 [ -0.506658 ]
p( _ | u ...) = 0.304146 [ -0.516918 ]
p( j | _ ...) = 0.060030 [ -1.221629 ]
p( u | j ...) = 0.310826 [ -0.507482 ]
p( s | u ...) = 0.311898 [ -0.505987 ]
p( t | s ...) = 0.065463 [ -1.184003 ]
p( _ | t ...) = 0.313445 [ -0.503838 ]
p( s | _ ...) = 0.236992 [ -0.625267 ]
p( a | s ...) = 0.313293 [ -0.504049 ]
p( i | a ...) = 0.311666 [ -0.506311 ]
p( d | i ...) = 0.078872 [ -1.103075 ]
sum logprob = -26.0266, per-symbol logprob = -0.7887, ppl = 6.1473

sentence = 'y o u <sp> c a n <sp> s a y <sp> t h a t <sp> a g a i n'
p( y | <s> ...) = 0.020894 [ -1.679973 ]
p( o | y ...) = 0.150989 [ -0.821056 ]
p( u | o ...) = 0.291616 [ -0.535188 ]
p( _ | u ...) = 0.241365 [ -0.617326 ]
p( c | _ ...) = 0.057356 [ -1.241424 ]
p( a | c ...) = 0.219459 [ -0.658646 ]
p( n | a ...) = 0.232310 [ -0.633932 ]
p( _ | n ...) = 0.287795 [ -0.540917 ]
p( s | _ ...) = 0.078838 [ -1.103265 ]
p( a | s ...) = 0.083515 [ -1.078237 ]
p( y | a ...) = 0.192170 [ -0.716314 ]
p( _ | y ...) = 0.313271 [ -0.504080 ]
p( t | _ ...) = 0.188988 [ -0.723566 ]
p( h | t ...) = 0.298072 [ -0.525678 ]
p( a | h ...) = 0.236345 [ -0.626453 ]
p( t | a ...) = 0.313764 [ -0.503396 ]
p( _ | t ...) = 0.313333 [ -0.503993 ]
p( a | _ ...) = 0.057745 [ -1.238484 ]
p( g | a ...) = 0.035156 [ -1.454005 ]
p( a | g ...) = 0.274679 [ -0.561175 ]
p( i | a ...) = 0.047999 [ -1.318771 ]
p( n | i ...) = 0.081895 [ -1.086744 ]
sum logprob = -18.6726, per-symbol logprob = -0.8488, ppl = 7.0592

sentence = 's h o u l d <sp> i <sp> t a k e <sp> i t'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( h | s ...) = 0.076091 [ -1.118667 ]
p( o | h ...) = 0.135779 [ -0.867169 ]
p( u | o ...) = 0.085150 [ -1.069815 ]
p( l | u ...) = 0.052987 [ -1.275827 ]
p( d | l ...) = 0.158609 [ -0.799671 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.089008 [ -1.050569 ]
p( _ | i ...) = 0.038676 [ -1.412560 ]
p( t | _ ...) = 0.051078 [ -1.291769 ]
p( a | t ...) = 0.107228 [ -0.969693 ]
p( k | a ...) = 0.196150 [ -0.707412 ]
p( e | k ...) = 0.160251 [ -0.795198 ]
p( _ | e ...) = 0.308621 [ -0.510575 ]
p( i | _ ...) = 0.098124 [ -1.008225 ]
p( t | i ...) = 0.285508 [ -0.544382 ]
sum logprob = -15.1443, per-symbol logprob = -0.9465, ppl = 8.8413

sentence = 'i <sp> w o u l d <sp> l i k e <sp> t o <sp> h a v e <sp> s o m e <sp> y o g u r t <sp> a n d <sp> b e r r i e s'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( o | w ...) = 0.091403 [ -1.039040 ]
p( u | o ...) = 0.198606 [ -0.702009 ]
p( l | u ...) = 0.087658 [ -1.057210 ]
p( d | l ...) = 0.071516 [ -1.145595 ]
p( _ | d ...) = 0.291836 [ -0.534861 ]
p( l | _ ...) = 0.080290 [ -1.095337 ]
p( i | l ...) = 0.239204 [ -0.621232 ]
p( k | i ...) = 0.285575 [ -0.544279 ]
p( e | k ...) = 0.318785 [ -0.496502 ]
p( _ | e ...) = 0.289511 [ -0.538334 ]
p( t | _ ...) = 0.264929 [ -0.576871 ]
p( o | t ...) = 0.304470 [ -0.516455 ]
p( _ | o ...) = 0.313220 [ -0.504151 ]
p( h | _ ...) = 0.051475 [ -1.288400 ]
p( a | h ...) = 0.133987 [ -0.872939 ]
p( v | a ...) = 0.266115 [ -0.574931 ]
p( e | v ...) = 0.151671 [ -0.819098 ]
p( _ | e ...) = 0.313445 [ -0.503839 ]
p( s | _ ...) = 0.063238 [ -1.199019 ]
p( o | s ...) = 0.225057 [ -0.647708 ]
p( m | o ...) = 0.294901 [ -0.530323 ]
p( e | m ...) = 0.319020 [ -0.496182 ]
p( _ | e ...) = 0.214905 [ -0.667754 ]
p( y | _ ...) = 0.019566 [ -1.708508 ]
p( o | y ...) = 0.226304 [ -0.645307 ]
p( g | o ...) = 0.069072 [ -1.160700 ]
p( u | g ...) = 0.192520 [ -0.715524 ]
p( r | u ...) = 0.209552 [ -0.678709 ]
p( t | r ...) = 0.073000 [ -1.136677 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( a | _ ...) = 0.114231 [ -0.942216 ]
p( n | a ...) = 0.206896 [ -0.684248 ]
p( d | n ...) = 0.307541 [ -0.512097 ]
p( _ | d ...) = 0.313471 [ -0.503803 ]
p( b | _ ...) = 0.012206 [ -1.913419 ]
p( e | b ...) = 0.131750 [ -0.880249 ]
p( r | e ...) = 0.091508 [ -1.038541 ]
p( r | r ...) = 0.305440 [ -0.515074 ]
p( i | r ...) = 0.044681 [ -1.349881 ]
p( e | i ...) = 0.178096 [ -0.749345 ]
p( s | e ...) = 0.246923 [ -0.607438 ]
sum logprob = -36.2765, per-symbol logprob = -0.8245, ppl = 6.6752

sentence = 'c a n <sp> y o u <sp> h e l p <sp> m e <sp> w i t h <sp> t h e <sp> c o m p u t e r'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( h | _ ...) = 0.047493 [ -1.323372 ]
p( e | h ...) = 0.177746 [ -0.750201 ]
p( l | e ...) = 0.191586 [ -0.717635 ]
p( p | l ...) = 0.306797 [ -0.513148 ]
p( _ | p ...) = 0.313339 [ -0.503986 ]
p( m | _ ...) = 0.192012 [ -0.716671 ]
p( e | m ...) = 0.302822 [ -0.518813 ]
p( _ | e ...) = 0.313104 [ -0.504311 ]
p( w | _ ...) = 0.109386 [ -0.961038 ]
p( i | w ...) = 0.284734 [ -0.545561 ]
p( t | i ...) = 0.304493 [ -0.516422 ]
p( h | t ...) = 0.312912 [ -0.504578 ]
p( _ | h ...) = 0.312033 [ -0.505799 ]
p( t | _ ...) = 0.204930 [ -0.688395 ]
p( h | t ...) = 0.310341 [ -0.508161 ]
p( e | h ...) = 0.128182 [ -0.892171 ]
p( _ | e ...) = 0.270824 [ -0.567313 ]
p( c | _ ...) = 0.031458 [ -1.502264 ]
p( o | c ...) = 0.185871 [ -0.730788 ]
p( m | o ...) = 0.058524 [ -1.232669 ]
p( p | m ...) = 0.202757 [ -0.693023 ]
p( u | p ...) = 0.132809 [ -0.876773 ]
p( t | u ...) = 0.094574 [ -1.024226 ]
p( e | t ...) = 0.274485 [ -0.561481 ]
p( r | e ...) = 0.301807 [ -0.520271 ]
sum logprob = -25.4208, per-symbol logprob = -0.7703, ppl = 5.8929

sentence = 'y o u <sp> b e t t e r <sp> h u r r y'
p( y | <s> ...) = 0.020894 [ -1.679973 ]
p( o | y ...) = 0.150989 [ -0.821056 ]
p( u | o ...) = 0.291616 [ -0.535188 ]
p( _ | u ...) = 0.241365 [ -0.617326 ]
p( b | _ ...) = 0.012197 [ -1.913754 ]
p( e | b ...) = 0.191934 [ -0.716847 ]
p( t | e ...) = 0.070310 [ -1.152985 ]
p( t | t ...) = 0.181205 [ -0.741829 ]
p( e | t ...) = 0.154864 [ -0.810051 ]
p( r | e ...) = 0.244398 [ -0.611902 ]
p( _ | r ...) = 0.313471 [ -0.503802 ]
p( h | _ ...) = 0.077018 [ -1.113408 ]
p( u | h ...) = 0.075495 [ -1.122084 ]
p( r | u ...) = 0.114831 [ -0.939941 ]
p( r | r ...) = 0.305903 [ -0.514416 ]
p( y | r ...) = 0.198391 [ -0.702478 ]
sum logprob = -14.4970, per-symbol logprob = -0.9061, ppl = 8.0550

sentence = 'c a n <sp> i <sp> h a v e <sp> a <sp> g l a s s <sp> o f <sp> w a t e r'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( i | _ ...) = 0.101067 [ -0.995392 ]
p( _ | i ...) = 0.044650 [ -1.350176 ]
p( h | _ ...) = 0.073536 [ -1.133500 ]
p( a | h ...) = 0.240965 [ -0.618046 ]
p( v | a ...) = 0.246039 [ -0.608996 ]
p( e | v ...) = 0.227434 [ -0.643145 ]
p( _ | e ...) = 0.310921 [ -0.507349 ]
p( a | _ ...) = 0.155115 [ -0.809347 ]
p( _ | a ...) = 0.223165 [ -0.651375 ]
p( g | _ ...) = 0.068584 [ -1.163776 ]
p( l | g ...) = 0.040476 [ -1.392799 ]
p( a | l ...) = 0.170942 [ -0.767151 ]
p( s | a ...) = 0.056072 [ -1.251251 ]
p( s | s ...) = 0.159859 [ -0.796262 ]
p( _ | s ...) = 0.306630 [ -0.513385 ]
p( o | _ ...) = 0.267859 [ -0.572093 ]
p( f | o ...) = 0.290379 [ -0.537035 ]
p( _ | f ...) = 0.311830 [ -0.506082 ]
p( w | _ ...) = 0.234559 [ -0.629748 ]
p( a | w ...) = 0.163237 [ -0.787181 ]
p( t | a ...) = 0.313898 [ -0.503211 ]
p( e | t ...) = 0.318917 [ -0.496323 ]
p( r | e ...) = 0.161350 [ -0.792231 ]
sum logprob = -22.1148, per-symbol logprob = -0.8191, ppl = 6.5927

sentence = 'i t <sp> f e e l s <sp> g r e a t'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( t | i ...) = 0.078008 [ -1.107859 ]
p( _ | t ...) = 0.209261 [ -0.679312 ]
p( f | _ ...) = 0.064155 [ -1.192770 ]
p( e | f ...) = 0.060967 [ -1.214903 ]
p( e | e ...) = 0.145590 [ -0.836870 ]
p( l | e ...) = 0.222380 [ -0.652904 ]
p( s | l ...) = 0.187293 [ -0.727478 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( g | _ ...) = 0.055870 [ -1.252823 ]
p( r | g ...) = 0.144992 [ -0.838656 ]
p( e | r ...) = 0.297809 [ -0.526062 ]
p( a | e ...) = 0.312102 [ -0.505703 ]
p( t | a ...) = 0.049282 [ -1.307310 ]
sum logprob = -12.2595, per-symbol logprob = -0.8757, ppl = 7.5106

sentence = 'w e <sp> n e e d <sp> t o <sp> t h a v e <sp> t h e <sp> c o m p u t e r <sp> g u y <sp> f i x <sp> o u r <sp> c o m p u t e r'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( e | w ...) = 0.098921 [ -1.004710 ]
p( _ | e ...) = 0.162514 [ -0.789110 ]
p( n | _ ...) = 0.027540 [ -1.560042 ]
p( e | n ...) = 0.179460 [ -0.746033 ]
p( e | e ...) = 0.179962 [ -0.744818 ]
p( d | e ...) = 0.050332 [ -1.298159 ]
p( _ | d ...) = 0.228892 [ -0.640369 ]
p( t | _ ...) = 0.230990 [ -0.636406 ]
p( o | t ...) = 0.285272 [ -0.544740 ]
p( _ | o ...) = 0.312550 [ -0.505081 ]
p( t | _ ...) = 0.068790 [ -1.162477 ]
p( h | t ...) = 0.117431 [ -0.930216 ]
p( a | h ...) = 0.081233 [ -1.090267 ]
p( v | a ...) = 0.014389 [ -1.841981 ]
p( e | v ...) = 0.250973 [ -0.600373 ]
p( _ | e ...) = 0.256251 [ -0.591335 ]
p( t | _ ...) = 0.164465 [ -0.783927 ]
p( h | t ...) = 0.222636 [ -0.652404 ]
p( e | h ...) = 0.215730 [ -0.666089 ]
p( _ | e ...) = 0.194436 [ -0.711224 ]
p( c | _ ...) = 0.014248 [ -1.846234 ]
p( o | c ...) = 0.173816 [ -0.759910 ]
p( m | o ...) = 0.108614 [ -0.964115 ]
p( p | m ...) = 0.165665 [ -0.780769 ]
p( u | p ...) = 0.077240 [ -1.112158 ]
p( t | u ...) = 0.078334 [ -1.106048 ]
p( e | t ...) = 0.270185 [ -0.568339 ]
p( r | e ...) = 0.301080 [ -0.521319 ]
p( _ | r ...) = 0.251371 [ -0.599685 ]
p( g | _ ...) = 0.017041 [ -1.768502 ]
p( u | g ...) = 0.065479 [ -1.183896 ]
p( y | u ...) = 0.183658 [ -0.735991 ]
p( _ | y ...) = 0.201518 [ -0.695685 ]
p( f | _ ...) = 0.032385 [ -1.489649 ]
p( i | f ...) = 0.114138 [ -0.942569 ]
p( x | i ...) = 0.077170 [ -1.112550 ]
p( _ | x ...) = 0.233227 [ -0.632222 ]
p( o | _ ...) = 0.046436 [ -1.333145 ]
p( u | o ...) = 0.199791 [ -0.699424 ]
p( r | u ...) = 0.045894 [ -1.338241 ]
p( _ | r ...) = 0.304766 [ -0.516034 ]
p( c | _ ...) = 0.087826 [ -1.056375 ]
p( o | c ...) = 0.248060 [ -0.605443 ]
p( m | o ...) = 0.206645 [ -0.684775 ]
p( p | m ...) = 0.282371 [ -0.549180 ]
p( u | p ...) = 0.289433 [ -0.538452 ]
p( t | u ...) = 0.153205 [ -0.814726 ]
p( e | t ...) = 0.313328 [ -0.504001 ]
p( r | e ...) = 0.310216 [ -0.508336 ]
sum logprob = -44.7387, per-symbol logprob = -0.8948, ppl = 7.8483

sentence = 'i <sp> a m <sp> r e a d y <sp> t o <sp> g o <sp> b a c k'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( a | _ ...) = 0.118837 [ -0.925049 ]
p( m | a ...) = 0.028926 [ -1.538717 ]
p( _ | m ...) = 0.198042 [ -0.703242 ]
p( r | _ ...) = 0.034916 [ -1.456972 ]
p( e | r ...) = 0.260010 [ -0.585009 ]
p( a | e ...) = 0.183875 [ -0.735477 ]
p( d | a ...) = 0.021004 [ -1.677696 ]
p( y | d ...) = 0.219516 [ -0.658535 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.235864 [ -0.627338 ]
p( o | t ...) = 0.315505 [ -0.500993 ]
p( _ | o ...) = 0.312475 [ -0.505184 ]
p( g | _ ...) = 0.104267 [ -0.981855 ]
p( o | g ...) = 0.206932 [ -0.684171 ]
p( _ | o ...) = 0.310624 [ -0.507765 ]
p( b | _ ...) = 0.071008 [ -1.148695 ]
p( a | b ...) = 0.249918 [ -0.602203 ]
p( c | a ...) = 0.298157 [ -0.525554 ]
p( k | c ...) = 0.033413 [ -1.476085 ]
sum logprob = -18.2440, per-symbol logprob = -0.8688, ppl = 7.3920

sentence = 'y o u <sp> k n o w <sp> w h a t <sp> i <sp> t h i n k'
p( y | <s> ...) = 0.020894 [ -1.679973 ]
p( o | y ...) = 0.150989 [ -0.821056 ]
p( u | o ...) = 0.291616 [ -0.535188 ]
p( _ | u ...) = 0.241365 [ -0.617326 ]
p( k | _ ...) = 0.014513 [ -1.838233 ]
p( n | k ...) = 0.208375 [ -0.681155 ]
p( o | n ...) = 0.277829 [ -0.556222 ]
p( w | o ...) = 0.056379 [ -1.248884 ]
p( _ | w ...) = 0.249769 [ -0.602461 ]
p( w | _ ...) = 0.174740 [ -0.757608 ]
p( h | w ...) = 0.305075 [ -0.515593 ]
p( a | h ...) = 0.241661 [ -0.616794 ]
p( t | a ...) = 0.134905 [ -0.869972 ]
p( _ | t ...) = 0.312784 [ -0.504756 ]
p( i | _ ...) = 0.177358 [ -0.751148 ]
p( _ | i ...) = 0.072118 [ -1.141954 ]
p( t | _ ...) = 0.063733 [ -1.195638 ]
p( h | t ...) = 0.251217 [ -0.599952 ]
p( i | h ...) = 0.264606 [ -0.577400 ]
p( n | i ...) = 0.101191 [ -0.994860 ]
p( k | n ...) = 0.307550 [ -0.512084 ]
sum logprob = -17.6183, per-symbol logprob = -0.8390, ppl = 6.9018

sentence = 'i <sp> m i s s e d <sp> y o u'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( m | _ ...) = 0.019541 [ -1.709060 ]
p( i | m ...) = 0.069920 [ -1.155399 ]
p( s | i ...) = 0.087672 [ -1.057141 ]
p( s | s ...) = 0.217648 [ -0.662246 ]
p( e | s ...) = 0.127922 [ -0.893055 ]
p( d | e ...) = 0.022067 [ -1.656266 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
